from,to,type
since,yesterday,1
yesterday,questions,1
questions,frolic,1
frolic,close,1
close,impulse,1
impulse,powdery,1
powdery,fruit,1
fruit,islands,1
islands,camp,1
camp,treasures,1
treasures,rage,1
rage,scatters,1
scatters,flatters,1
flatters,reprimands,1
reprimands,doncels,2
work,walnuts,1
walnuts,spurt,1
spurt,forehead,1
forehead,sound,1
sound,flame,1
flame,makes,1
makes,roots,1
roots,mansion,1
mansion,buried,1
buried,screams,1
screams,IF,2
moves,uncurving,1
uncurving,bee,1
bee,mirror,1
mirror,destroys,1
destroys,mute,1
mute,river,1
river,IF,2
sinks,half-siren,1
half-siren,fire,1
fire,loose,1
loose,threads,1
threads,plough,1
plough,winter,1
winter,weave,1
weave,white,1
white,body,1
body,questions,1
questions,pulvereous,1
pulvereous,statue,1
