from,to,type
Danaë,weaves,1
weaves,time,1
time,gilded,1
gilded,Nile,1
Nile,wrapping,1
wrapping,lip,1
lip,passed,1
passed,between,1
between,lip,1
lip,disconnected,1
disconnected,flight,1
flight,hand,2
hand,lip,1
lip,bird,1
bird,snow,1
snow,circle,2
circle,snow,1
snow,opened,1
opened,hand,2
hand,blood,1
blood,silk,1
silk,erased,1
erased,perfection,1
perfection,death,1
death,knees,1
knees,zeal,1
zeal,hides,1
hides,frolics,1
frolics,vertical,4
vertical,marble,1
marble,NEG,1
NEG,see,1
see,forehead,1
forehead,opened,1
opened,moist,1
moist,lotus,1
lotus,endless,2
endless,shriek,1
shriek,grove,1
grove,opened,1
opened,irate,1
irate,redouble,1
redouble,arrow,1
arrow,death,1
death,Q,2
Q,cold,1
cold,gaze,1
gaze,NEG,1
NEG,rush,1
rush,royal,1
royal,heron,1
heron,cold,1
cold,so,1
so,weak,1
weak,west-wind,1
west-wind,cry,1
cry,aids,1
aids,flight,1
flight,sleep,1
sleep,cold,1
cold,flame,1
flame,sharpened,1
sharpened,tongue,1
tongue,absolute,4
absolute,face,1
face,false,1
false,firmness,1
firmness,mirror,1
mirror,mirror,2
mirror,forgotten,1
forgotten,sound,1
sound,night,1
night,door,1
door,changeful,1
changeful,pontiff,1
pontiff,half-opens,1
half-opens,mask,1
mask,river,1
river,spigot-griffin,1
spigot-griffin,dreams,1
dreams,death,2
death,cold,1
cold,comet,1
comet,unearthed,1
unearthed,air,1
air,creates,1
creates,air,1
air,lies,1
lies,life,1
life,dragged,1
dragged,cloud,1
cloud,open,1
open,mouth,1
mouth,negated,1
negated,blood,1
blood,moved,1
moved,ascending,4
ascending,chest,1
chest,only,1
only,soft,1
soft,forgotten,1
forgotten,breath,1
breath,forgets,1
forgets,untangles,1
untangles,forgotten,2
forgotten,paper,1
paper,fresh,1
fresh,eyelet,1
eyelet,quickens,1
quickens,leaping,1
leaping,heart,1
heart,smile,1
smile,snail,1
snail,hand,2
hand,air,1
air,lines,1
lines,impulsed,1
impulsed,dry,1
dry,smiles,1
smiles,walking,1
walking,snow,1
snow,now,2
now,brought,1
brought,ear,1
ear,snail,1
snail,snail,1
snail,burying,1
burying,firm,1
firm,ear,1
ear,silk,1
silk,pool,1
pool,hailstruck,2
hailstruck,lemonbalm,1
lemonbalm,rivers,1
rivers,frozen,1
frozen,velamen,1
velamen,guard,1
guard,signal,1
signal,withered,1
withered,leaf,1
leaf,gold,1
gold,levied,1
levied,spiral,1
spiral,autumn,1
autumn,water,1
water,so,1
so,boiling,1
boiling,docile,2
docile,ruby,1
ruby,keeps,1
keeps,sighing,1
sighing,flight,1
flight,now,1
now,ascending,1
ascending,now,2
now,autumn,1
autumn,runs,1
runs,islands,1
islands,uncared,1
uncared,garnished,1
garnished,islands,1
islands,isolated,1
isolated,dove,1
dove,mute,1
mute,between,1
between,two,1
two,buried,1
buried,leaf,1
leaf,river,2
river,sum,1
sum,eyes,1
eyes,announced,1
announced,weighs,1
weighs,moon,1
moon,backs,1
backs,breath,1
breath,halo,1
halo,transform,1
transform,torches,4
torches,fish,1
fish,thin,1
thin,boy,1
boy,works,1
works,night,1
night,sky,1
sky,bow,1
bow,basket,1
basket,ignited,1
ignited,serpents,1
serpents,icicle,1
icicle,sighthound,1
sighthound,purple,2
purple,feather,1
feather,NEG,1
NEG,wet,1
wet,fish,1
fish,gazing,1
gazing,me,1
me,sepulchre,1
sepulchre,equestrian,2
equestrian,pheasants,1
pheasants,NEG,1
NEG,warn,1
warn,hand,1
hand,echo,1
echo,unfolded,1
unfolded,pulse,1
pulse,fingers,2
fingers,immobile,1
immobile,calendar,1
calendar,tedium,1
tedium,unibrowed,1
unibrowed,throne,1
throne,slowly,2
slowly,wave,1
wave,formed,1
formed,marmoreal,1
marmoreal,cavity,1
cavity,gaze,1
gaze,backs,1
backs,never,1
never,ask,1
ask,me,1
me,venom,1
venom,never,1
never,perverted,1
perverted,shield,1
shield,NEG,1
NEG,colts,1
colts,NEG,1
NEG,pheasants,1
pheasants,spilled,4
spilled,absence,1
absence,arrow,1
arrow,isolates,1
isolates,strawberry,1
strawberry,breathes,1
breathes,spinning,1
spinning,crystal,1
crystal,autumn,1
autumn,lip,1
lip,death,1
death,hail,1
hail,soft,1
soft,mirror,1
mirror,destroy,1
destroy,gaze,1
gaze,binds,1
binds,lies,1
lies,feather,1
feather,lip,1
lip,labyrinth,1
labyrinth,praise,1
praise,run,1
run,joined,1
joined,fountain,1
fountain,moistens,1
moistens,dream,1
dream,absence,2
absence,mirror,1
mirror,now,1
now,lock,1
lock,beach,1
beach,extend,1
extend,isolated,1
isolated,lock,1
lock,asks,1
asks,frolics,1
frolics,light,4
light,frond,1
frond,tips,1
tips,ascension,1
ascension,assumed,1
assumed,Q,2
Q,NEG,1
NEG,corinthian,1
corinthian,curve,1
curve,betrayal,1
betrayal,crystallized,1
crystallized,mirabelles,1
mirabelles,mirror,1
mirror,reunites,1
reunites,sails,1
sails,blind,1
blind,exile,1
exile,now,2
now,falls,1
falls,only,1
only,bird,1
bird,hand,1
hand,prison,1
prison,moves,1
moves,sunken,1
sunken,gods,1
gods,between,1
between,stone,1
stone,carbuncle,1
carbuncle,damsel,1
damsel,IF,2
IF,absence,1
absence,asks,1
asks,fainted,1
fainted,snow,1
snow,forms,1
forms,feather,1
feather,NEG,1
NEG,circles,1
