from,to,type
spilled,absence,1
absence,arrow,1
arrow,isolates,1
isolates,strawberry,1
strawberry,breathes,1
breathes,spinning,1
spinning,crystal,1
crystal,autumn,1
autumn,lip,1
lip,death,1
death,hail,1
hail,soft,1
soft,mirror,1
mirror,destroy,1
destroy,gaze,1
gaze,binds,1
binds,lies,1
lies,feather,1
feather,lip,1
lip,labyrinth,1
labyrinth,praise,1
praise,run,1
run,joined,1
joined,fountain,1
fountain,moistens,1
moistens,dream,1
dream,absence,2
absence,mirror,1
mirror,now,1
now,lock,1
lock,beach,1
beach,extend,1
extend,isolated,1
isolated,lock,1
lock,asks,1
asks,frolics,1
