from,to,type
yesterday,questions,1
questions,frolic,1
frolic,close,1
close,impulse,1
impulse,powdery,1
powdery,fruit,1
fruit,islands,1
islands,camp,1
camp,treasures,1
treasures,rage,1
rage,scatters,1
scatters,flatters,1
flatters,reprimands,1
reprimands,doncel,2
doncel,work,1
work,walnuts,1
walnuts,spurt,1
spurt,forehead,1
forehead,sound,1
sound,flame,1
flame,makes,1
makes,roots,1
roots,mansion,1
mansion,buried,1
buried,scream,1
scream,IF,2
IF,moves,1
moves,uncurving,1
uncurving,bee,1
bee,mirror,1
mirror,destroy,1
destroy,mute,1
mute,river,1
river,IF,2
IF,sinks,1
sinks,half-siren,1
half-siren,fire,1
fire,loose,1
loose,thread,1
thread,plough,1
plough,winter,1
winter,weave,1
weave,white,1
white,body,1
body,questions,1
questions,pulvereous,1
pulvereous,statue,1
fire,forehead,4
fire,half-siren,4
fire,flatters,4
fire,fruit,4
fire,frolic,4
fire,flame,4
forehead,half-siren,4
forehead,flatters,4
forehead,fruit,4
forehead,frolic,4
forehead,flame,4
half-siren,flatters,4
half-siren,fruit,4
half-siren,frolic,4
half-siren,flame,4
flatters,fruit,4
flatters,frolic,4
flatters,flame,4
frolic,fruit,4
frolic,flame,4
fruit,flame,4
buried,bee,4
buried,body,4
bee,body,4
white,weave,4
white,winter,4
weave,winter,4
mansion,makes,4
mansion,mute,4
mansion,moves,4
mansion,impulse,4
mansion,camp,4
mansion,reprimands,4
mansion,flame,4
mansion,mirror,4
mansion,scream,4
work,walnuts,4
spurt,sound,4
spurt,statue,4
spurt,scatters,4
spurt,questions,4
spurt,sinks,4
spurt,impulse,4
spurt,destroy,4
spurt,statue,4
spurt,loose,4
