id,weight
shriek,2
fruit,2
snow,10
secret,3
geranium,1
transform,3
white,4
silk,3
ascending,4
spilled,2
lip,10
open,5
amnesia,1
islands,4
sword,1
lashes,1
come,2
give way,1
sleep,2
render,1
mirror,14
littoral,1
impure,1
earth,3
stone,2
moist,4
NEG,21
shell,3
looks,1
uncurving,3
thread,2
slaves,1
profile,2
dry,3
velamen,2
air,6
bit,1
litmus,2
changes,1
sound,5
golden,2
salty,1
lime,1
searches,1
death,7
IF,10
crosses,1
water,4
agitate,3
ear,4
boil,1
sits,1
fringe,1
forehead,5
centurion,1
pulses,1
flank,2
declaims,1
penetrate,2
gaze,5
wrinkle,2
letters,1
dream,3
wave,8
wraps,1
albino,1
harpooned,1
skin,1
colored,1
shadow,1
memory,2
minute,1
silence,1
now,8
pierces,1
unbent,1
endless,2
flames,3
drizzled,1
leaf,4
jet,2
uncreated,1
bee,3
bite,1
wake,1
request,1
verified,1
speechless,1
Narcissus,5
high,1
tide,1
fled,1
wingless,1
