id,weight
ascending,3
chest,1
only,2
soft,4
forgotten,2
breath,2
forgets,1
untangles,1
paper,1
fresh,1
eyelet,1
quickens,1
leaping,1
heart,1
smile,1
snail,3
hand,4
air,6
lines,1
impulsed,1
dry,3
smiles,1
walking,1
snow,8
now,4
brought,1
ear,4
burying,1
firm,2
silk,3
pool,1
hailstruck,0
lemonbalm,1
rivers,1
frozen,1
velamen,2
guard,1
signal,1
withered,1
leaf,1
gold,1
levied,1
spiral,1
autumn,3
waters,2
so,3
boiling,2
docile,0
ruby,1
keeps,1
sighing,1
flight,2
runs,1
islands,4
uncared,1
garnished,1
isolated,2
dove,3
mute,4
between,4
two,1
buried,3
leaves,3
river,4
sum,1
eyes,4
announced,1
weighs,1
moon,3
backs,2
halo,1
transformed,2
