id,weight
Danaë,1
weaves,1
time,1
gilded,1
Nile,1
wrapping,1
lip,10
passed,1
between,4
disconnected,1
flight,4
hand,5
bird,2
snow,10
circle,1
opened,3
blood,2
silk,3
erased,1
perfection,1
death,7
knees,1
zeal,1
hides,1
frolics,2
vertical,1
marble,2
NEG,15
see,1
forehead,5
moist,2
lotus,1
endless,2
shriek,2
grove,1
irate,2
redouble,1
arrow,5
Q,2
cold,5
gaze,5
rush,2
royal,1
heron,3
so,3
weak,1
west-wind,1
cry,1
aids,1
sleep,2
flame,2
sharpened,1
tongue,1
absolute,1
face,3
false,2
firmness,1
mirror,14
forgotten,3
sound,5
night,4
door,1
changeful,2
pontiff,1
half-opens,1
mask,1
river,4
spigot-griffin,1
dreams,1
comet,1
unearthed,1
air,6
creates,1
lies,2
life,1
dragged,1
cloud,3
open,1
mouth,1
negated,1
moved,1
ascending,4
chest,1
only,2
soft,4
breath,2
forgets,1
untangles,1
paper,1
fresh,2
eyelet,1
quickens,1
leaping,1
heart,1
smile,1
snail,3
lines,1
impulsed,1
dry,3
smiles,1
walking,1
now,8
brought,1
ear,4
burying,1
firm,2
pool,1
hailstruck,1
lemonbalm,1
rivers,1
frozen,1
velamen,2
guard,1
signal,1
withered,1
leaf,4
gold,1
levied,1
spiral,1
autumn,3
water,4
boiling,2
docile,1
ruby,1
keeps,1
sighing,1
runs,1
islands,4
uncared,1
garnished,1
isolated,2
dove,3
mute,4
two,1
buried,3
sum,1
eyes,4
announced,1
weighs,1
moon,3
backs,2
halo,1
transform,3
torches,1
fish,4
thin,1
boy,1
works,1
sky,3
bow,1
basket,1
ignited,1
serpents,1
icicle,1
sighthound,1
purple,1
feather,5
wet,1
gazing,1
me,2
sepulchre,1
equestrian,1
pheasants,2
warn,1
echo,1
unfolded,1
pulse,1
fingers,2
immobile,1
calendar,1
tedium,2
unibrowed,1
throne,1
slowly,1
wave,3
formed,1
marmoreal,2
cavity,1
never,2
ask,2
venom,1
perverted,1
shield,1
colts,1
spilled,2
absence,3
isolates,1
strawberry,1
breathes,1
spinning,2
crystal,1
hail,1
destroy,4
binds,1
labyrinth,1
praise,1
run,1
joined,1
fountain,1
moistens,1
dream,2
lock,2
beach,1
extend,1
asks,2
light,1
frond,1
tips,1
ascension,1
assumed,1
corinthian,1
curve,2
betrayal,1
crystallized,1
mirabelles,1
reunites,1
sails,1
blind,2
exile,1
falls,1
prison,2
moves,2
sunken,1
gods,1
stone,2
carbuncle,1
damsel,1
IF,10
fainted,1
forms,1
circles,1
octopess,1
abandons,1
submerged,1
sadly,1
traverses,1
tightened,1
ash-grey,1
space,1
hands,1
dislodge,1
absent,2
timbre,1
ardent,1
saffron,1
tender,1
redoubles,1
extremes,1
summoned,1
sleeping,1
agitated,1
wrinkle,2
wav,5
beating,1
slept,2
chess,1
untombed,1
tiara,1
unsepulchred,1
wood,1
frigid,1
beak,1
swan,1
relucent,1
pier,1
diamonds,1
terse,1
atlas,1
shrieked,1
greens,1
play,1
lightning,2
veins,1
drowned,1
ribbons,1
offer,1
oriental,1
baskets,1
sift,1
most,2
scream,1
masked,1
whistle,1
foreheads,1
hooks,1
stretched,1
recurves,1
traps,1
oscillate,1
spirals,1
heroic,1
tenors,1
fall,1
breast,1
agitate,2
gleaming,1
arrows,1
cloak,1
protrudes,1
back,1
violet,1
pin,1
stubborn,1
moistened,2
earth,3
closed,1
dusts,1
profile,2
broken,1
valves,1
limit,1
shells,1
thirst,1
protrude,1
arms,2
asking,1
corals,2
stripes,2
bee,3
confused,1
secrets,1
awake,1
remembering,1
curved,1
encrusting,1
yesterday,1
questions,2
frolic,1
close,1
impulse,1
powdery,1
fruit,1
camp,1
treasures,1
rage,1
scatters,1
flatters,1
reprimands,1
doncel,3
work,1
walnuts,1
spurt,1
makes,1
roots,1
mansion,1
screams,1
uncurving,4
sinks,1
half-siren,1
fire,1
loose,1
threads,1
plough,1
winter,1
weave,1
white,4
body,3
pulvereous,1
statue,1
swarm,1
pines,2
clamor,1
waking,1
breaking,1
smooth,1
blazes,1
sessile,1
guided,2
shrieks,1
carnation,2
memory,2
come,2
reuniting,1
forever,1
burnt,1
abyss,1
alquitared,1
groaning,1
bolstered,1
steeds,1
pays,1
distilled,1
plea,1
more,1
recurve,1
first,1
muteness,1
already,1
sistrums,1
penetrate,2
argues,1
glass,1
nests,1
center,1
burn,1
tepid,1
escaped,1
deer,2
rosed,1
forests,1
coral,1
curl,1
voices,1
paths,1
sonorous,1
rocks,1
slim,1
nodding,1
forceful,1
pine,1
column,1
smoke,1
canary,1
needle,1
jet,1
uncurled,1
wind,1
Narcissus,5
antlers,1
murdered,1
flames,3
flutes,1
nibbled,1
hairs,1
guiding,1
florentines,1
crawl,1
profiles,1
routes,1
sad,1
biting,1
hips,1
green,1
posy,1
doves,1
hidden,1
throat,1
daughter,1
swans,1
digresses,1
shell,3
carelessness,1
spray,1
hung,1
drop,1
sweet,1
plinth,1
offering,1
fruited,1
secret,2
geranium,1
opens,1
amnesia,1
sword,1
eyelashes,1
give way,1
yield,1
littoral,1
impure,1
looks,2
thread,1
slaves,1
bites,1
litmus,2
changes,1
golden,2
salty,1
lime,1
crosses,1
boil,1
sits,1
fringe,1
centurion,1
pulses,1
side,1
declaims,1
letters,1
wraps,1
albino,1
harpooned,1
skin,1
colored,1
shadow,1
minute,1
silence,1
pierces,1
drizzled,1
stream,1
uncreated,1
bite,1
wake,1
flank,1
verified,1
speechless,1
high,1
tide,1
fled,1
wingless,1
